name,type,tier,iclevel,region,county
ASA Institute Of Business & Computer Technology,3,11,2,1,Kings
Abilene Christian University,2,6,1,3,Taylor
Abraham Baldwin Agricultural College,1,7,1,3,Tift
Academy Of Art University,3,10,1,4,San Francisco
Adams State University,1,5,1,4,Alamosa
Adelphi University,2,6,1,1,Nassau
Adirondack Community College - SUNY Office Of Community Colleges,1,9,2,1,Warren
Adrian College,2,6,1,2,Lenawee
Advanced Institute Of Hair Design,3,11,2,2,Milwaukee
Advanced Technology Institute,3,11,2,3,Virginia Beach City
Adventist University Of Health Sciences,2,8,1,3,Orange
Agnes Scott College,2,4,1,3,DeKalb
Aiken Technical College,1,9,2,3,Aiken
Alabama Agricultural & Mechanical University,1,5,1,3,Madison
Alabama Southern Community College,1,9,2,3,Monroe
Alamance Community College,1,9,2,3,Alamance
Alamo Community College District,1,9,2,3,Bexar
Albany College Of Pharmacy And Health Sciences,2,8,1,1,Albany
Albany State University,1,5,1,3,Dougherty
Albany Technical College,1,9,2,3,Dougherty
Albertus Magnus College,2,6,1,1,New Haven
Albion College,2,6,1,2,Calhoun
Albright College,2,6,1,1,Berks
Alderson Broaddus University,2,6,1,3,Barbour
Alfred University,2,6,1,1,Allegany
Allan Hancock College,1,9,2,4,Santa Barbara
Allegany College Of Maryland,1,9,2,3,Allegany
Allegheny College,2,6,1,1,Crawford
Allen County Community College,1,9,2,2,Allen
Alma College,2,6,1,2,Gratiot
Alpena Community College,1,9,2,2,Alpena
Altamaha Technical College,1,9,2,3,Wayne
Alvernia University,2,6,1,1,Berks
Alverno College,2,6,1,2,Milwaukee
Alvin Community College,1,9,2,3,Brazoria
Amarillo College,1,9,2,3,Potter
"American Career College of Los Angeles, CA",3,11,2,4,Los Angeles
American Institute Of Business,2,8,1,2,Polk
American Intercontinental University,3,10,1,2,Cook
American International College,2,6,1,1,Hampden
American Musical & Dramatic Academy,2,8,1,1,New York
American National University,3,10,1,3,Salem City
American University ,2,4,1,3,District Of Columbia
Amherst College,2,2,1,1,Hampshire
Ancilla Domini College,2,9,2,2,Marshall
"Anderson University of Anderson, IN",2,6,1,2,Madison
"Anderson University of Anderson, SC",2,8,1,3,Anderson
Andrews University,2,6,1,2,Berrien
Angelina College,1,9,2,3,Angelina
Angelo State University,1,5,1,3,Tom Green
Anna Maria College,2,6,1,1,Worcester
Anne Arundel Community College,1,9,2,3,Anne Arundel
Antelope Valley College,1,9,2,4,Los Angeles
Anthem College And The Bryman School Of Arizona,3,10,1,4,Maricopa
Anthem Institute,3,12,3,1,Hudson
Antonelli College,3,11,2,3,Rankin
Appalachian State University,1,5,1,3,Watauga
Aquinas College,2,6,1,2,Kent
Arapahoe Community College,1,9,2,4,Arapahoe
Arcadia University,2,6,1,1,Montgomery
Argosy University,3,10,1,4,San Bernardino
Arizona State And Northern Arizona University And University Of Arizona,1,5,1,4,Maricopa
Arizona Western College,1,9,2,4,Yuma
Arkansas Northeastern College,1,9,2,3,Mississippi
Arkansas State University,1,5,1,3,Craighead
Arkansas State University - Beebe,1,9,2,3,White
Arkansas Tech University,1,5,1,3,Pope
Armstrong Atlantic State University,1,5,1,3,Chatham
Art Center College Of Design,2,8,1,4,Los Angeles
Art Institute Of Colorado ,3,10,1,4,Denver
Art Institute Of Fort Lauderdale ,3,10,1,3,Broward
Art Institute Of Houston ,3,10,1,3,Harris
Art Institute Of New York City ,3,11,2,1,New York
Art Institute Of Philadelphia ,3,10,1,1,Philadelphia
Art Institute Of Phoenix ,3,10,1,3,Jefferson
Art Institute Of Pittsburgh ,3,10,1,1,Allegheny
Art Institute Of Portland ,3,10,1,4,Multnomah
Art Institute Of Seattle ,3,10,1,4,King
Art Institute Of York  - Pennsylvania,3,10,1,1,York
Art Institutes International Minnesota ,3,10,1,2,Hennepin
Asbury College,2,6,1,3,Jessamine
Asheville Buncombe Technical Community College,1,9,2,3,Buncombe
Ashland University,2,6,1,2,Ashland
Asnuntuck Community College,1,9,2,1,Hartford
Assumption College,2,6,1,1,Worcester
Athens Technical College,1,9,2,3,Clarke
Atlanta Metropolitan  State College,1,7,1,3,Fulton
Atlanta Technical College,1,9,2,3,Fulton
Atlantic Cape Community College,1,9,2,1,Atlantic
Auburn University,1,5,1,3,Lee
Auburn University Montgomery,1,5,1,3,Montgomery
Augsburg College,2,6,1,2,Hennepin
Augusta Technical College,1,9,2,3,Richmond
"Augustana College of Rock Island, IL",2,4,1,2,Rock Island
"Augustana College of Sioux Falls, SD",2,6,1,2,Minnehaha
Aurora University,2,6,1,2,Kane
Austin College,2,4,1,3,Grayson
Austin Community College,1,9,2,3,Travis
Austin Peay State University,1,5,1,3,Montgomery
Automotive Training Center,3,11,2,1,Chester
Aveda Institute,3,12,3,2,Hennepin
Aveda Institute Covington,3,12,3,3,St Tammany
Averett University,2,6,1,3,Danville City
Avila University,2,6,1,2,Jackson
Azusa Pacific University,2,6,1,4,Los Angeles
Babson College,2,4,1,1,Norfolk
Bainbridge State College,1,9,2,3,Decatur
Baker College,2,8,1,2,Genesee
Baker University,2,6,1,2,Douglas
Baldwin Wallace University,2,6,1,2,Cuyahoga
Ball State University,1,5,1,2,Delaware
Baltimore School Of Massage,3,12,3,3,Anne Arundel
Baptist Bible College,2,8,1,2,Greene
Baptist Bible College Of Pennsylvania,2,8,1,1,Lackawanna
Bard College,2,4,1,1,Dutchess
Barnard College,2,2,1,1,New York
Barry University,2,6,1,3,
Barstow Community College,1,9,2,4,San Bernardino
Barton College,2,6,1,3,Wilson
Barton County Community College,1,9,2,2,Barton
Bates College,2,2,1,1,Androscoggin
Bates Technical College,1,9,2,4,Pierce
Bay De Noc Community College,1,9,2,2,Delta
Bay Path College,2,6,1,1,Hampden
Bay State College,3,10,1,1,Suffolk
Baylor University,2,4,1,3,McLennan
Beaufort County Community College,1,9,2,3,Beaufort
Becker College,2,6,1,1,Worcester
Bel - Rea Institute Of Animal Technology,3,11,2,4,Arapahoe
Belhaven University,2,6,1,3,Hinds
Bellarmine University,2,6,1,3,Jefferson
Bellevue College,1,7,1,4,King
Bellevue University,2,6,1,2,Sarpy
Bellingham Technical College,1,9,2,4,Whatcom
Belmont Abbey College,2,6,1,3,Gaston
Belmont College,1,9,2,2,Belmont
Belmont University,2,6,1,3,Davidson
Beloit College,2,4,1,2,Rock
Benedictine College,2,6,1,2,Atchison
Benedictine University,2,6,1,2,Dupage
Bennett College,2,6,1,3,Guilford
Bennington College,2,4,1,1,Bennington
Bentley University,2,4,1,1,Middlesex
Bergen Community College,1,9,2,1,Bergen
"Berkeley College of New York, NY",3,10,1,1,New York
"Berkeley College of Woodland Park, NJ",3,10,1,1,Passaic
Berklee College Of Music,2,8,1,1,Suffolk
Berkshire Community College,1,9,2,1,Berkshire
Berry College,2,6,1,3,Floyd
Beth Medrash Govoha Of America,2,8,1,1,Ocean
"Bethany College of Bethany, WV",2,6,1,3,Brooke
"Bethany College of Lindsborg, KS",2,6,1,2,McPherson
Bethany Lutheran College,2,8,1,2,Blue Earth
Bethel College,2,6,1,2,St Joseph
"Bethel University of McKenzie, TN",2,6,1,3,Carroll
"Bethel University of Saint Paul, MN",2,6,1,2,Ramsey
Bethune Cookman University,2,6,1,3,Volusia
Bevill State Community College,1,9,2,3,Walker
Big Bend Community College,1,9,2,4,Grant
Binghamton University,1,3,1,1,Broome
Biola University,2,6,1,4,Los Angeles
Birmingham Southern College,2,6,1,3,Jefferson
Bishop State Community College,1,9,2,3,Mobile
Bismarck State College,1,7,1,2,Burleigh
Black Hawk College,1,9,2,2,Rock Island
Black River Technical College,1,9,2,3,Randolph
Blackburn University,2,6,1,2,Macoupin
Blackhawk Technical College,1,9,2,2,Rock
Bladen Community College,1,9,2,3,Bladen
Blinn College,1,9,2,3,Washington
Bloomfield College,2,6,1,1,Essex
Bloomsburg University Of Pennsylvania,1,5,1,1,Columbia
Blue Mountain Community College,1,9,2,4,Umatilla
"Blue Ridge Community College of Flat Rock, NC",1,9,2,3,Henderson
"Blue Ridge Community College of Weyers Cave, VA",1,9,2,3,Augusta
Bluefield State College,1,5,1,3,Mercer
Bluffton University,2,6,1,2,Allen
Boise State University,1,5,1,4,Ada
Boricua College,2,6,1,1,New York
Bossier Parish Community College,1,9,2,3,Bossier
Boston College,2,2,1,1,Middlesex
Boston University,2,4,1,1,Suffolk
Bowdoin College,2,2,1,1,Cumberland
Bowling Green State University,1,5,1,2,Wood
"Bradford School of Columbus, OH",3,11,2,2,Franklin
"Bradford School of Pittsburgh, PA",3,11,2,1,Allegheny
Bradley University,2,6,1,2,Peoria
Brandeis University,2,2,1,1,Middlesex
Brazosport College,1,7,1,3,Brazoria
Brenau University,2,6,1,3,Hall
