name,region,count,female,k_married,par_mean
Academy Of Art University,4,495.6666666666670,0.4142569,0.34508148,166594.9696116340
Adams State University,4,393.3333333333330,0.50084746,0.56966305,76121.81634004240
Adrian College,2,240.3333333333330,0.55478501,0.65137172,113708.1117154990
Advanced Institute Of Hair Design,2,58,0.99137932,0.58200473,90962.75
Advanced Technology Institute,3,127.6666666666670,0.039164491,0.40728205,69400.14868227810
Adventist University Of Health Sciences,3,120.5,0.76348549,0.53837162,73132.16145833330
Agnes Scott College,3,164,0.99695122,0.50208014,148536.1145833330
Alabama Agricultural & Mechanical University,3,943.6666666666670,0.51395267,0.23482969,57659.15268870320
Alabama Southern Community College,3,248,0.59677422,0.41742578,61075.67017914150
Albany College Of Pharmacy And Health Sciences,1,129,0.59689921,0.74353045,90997.46875
Albany State University,3,521,0.63595647,0.21053372,54718.25915956890
Albany Technical College,3,312.5,0.62720001,0.22114572,43728.09114583330
Albertus Magnus College,1,65.66666666666670,,0.40746137,89400.36429251270
Albion College,2,398,0.56407034,0.67621833,159765.4010416670
Albright College,1,314,0.59023356,0.58927262,139372.1685327100
Alderson Broaddus University,3,126,0.6322751,0.66366309,68810.96589781750
Alfred University,1,454.6666666666670,0.52639294,0.60422957,133071.2605674950
Allegheny College,1,434.5,0.50517839,0.62554431,142412.0833333330
Allen County Community College,2,420.6666666666670,0.57290018,0.54991829,74845.65543903530
Alma College,2,266.5,0.56097561,0.71877366,120659.5260416670
Alpena Community College,2,298.5,0.46733668,0.55798501,68727.44270833330
Altamaha Technical College,3,122,0.55737704,0.40532565,48751.51171875
Alvernia University,1,210.3333333333330,0.62440568,0.56393397,94909.35131487720
Alverno College,2,161,0.99792963,0.43997833,76471.00965644410
"American Career College of Los Angeles, CA",4,489.5,0.82431054,0.28423366,55879.31640625
American Institute Of Business,2,257,0.71465629,0.68425125,77755.5766354572
American International College,1,172.3333333333330,0.50483561,0.42280263,79213.42305367510
American Musical & Dramatic Academy,1,270.5,0.65619224,0.36969981,115011.5703125
