name,region,count,female,k_married,par_mean
ASA Institute Of Business & Computer Technology,1,275,0.79878789,0.1836585,35390.39680397730
Dowling College,1,275,0.57090908,0.49549663,95406.83612689390
Abilene Christian University,3,838.6666666666670,0.55961841,0.71257001,138760.9698057430
Abraham Baldwin Agricultural College,3,679.3333333333330,0.44160941,0.58075023,80366.66126794040
Academy Of Art University,4,495.6666666666670,0.4142569,0.34508148,166594.9696116340
Adams State University,4,393.3333333333330,0.50084746,0.56966305,76121.81634004240
Adelphi University,1,509,0.71840209,0.54553699,130723.7409084400
Adirondack Community College - SUNY Office Of Community Colleges,1,663,0.5263952,0.48989117,75699.25195607090
Adrian College,2,240.3333333333330,0.55478501,0.65137172,113708.1117154990
Simmons College,1,240.3333333333330,0.98751736,0.58543897,155814.6935571260
Vanguard University Of Southern California,4,240.3333333333330,0.62135923,0.71484703,119919.5007693310
Advanced Institute Of Hair Design,2,58,0.99137932,0.58200473,90962.75
Advanced Technology Institute,3,127.6666666666670,0.039164491,0.40728205,69400.14868227810
Adventist University Of Health Sciences,3,120.5,0.76348549,0.53837162,73132.16145833330
Agnes Scott College,3,164,0.99695122,0.50208014,148536.1145833330
Harvey Mudd College,4,164,0.3211382,0.54920626,207971.9583333330
Aiken Technical College,3,553.6666666666670,0.53883201,0.42719471,67392.41217169630
Alabama Agricultural & Mechanical University,3,943.6666666666670,0.51395267,0.23482969,57659.15268870320
Alabama Southern Community College,3,248,0.59677422,0.41742578,61075.67017914150
Alamance Community College,3,518.3333333333330,0.59614146,0.4634057,72254.93519895500
Alamo Community College District,3,6901.333333333330,0.54037869,0.4291977,65078.97563310530
Albany College Of Pharmacy And Health Sciences,1,129,0.59689921,0.74353045,90997.46875
Wood Tobe - Coburn School,1,129,0.82558137,0.29204834,42822.66666666670
Albany State University,3,521,0.63595647,0.21053372,54718.25915956890
Albany Technical College,3,312.5,0.62720001,0.22114572,43728.09114583330
Albertus Magnus College,1,65.66666666666670,,0.40746137,89400.36429251270
Albion College,2,398,0.56407034,0.67621833,159765.4010416670
Elizabethtown College,1,398,0.63819093,0.69474488,118657.1078373640
Albright College,1,314,0.59023356,0.58927262,139372.1685327100
Mississippi Valley State University,3,314,0.57484078,0.1937815,41338.79817708330
Point Park University,1,314,0.63269639,0.505162,98534.29028164810
Alderson Broaddus University,3,126,0.6322751,0.66366309,68810.96589781750
Bennett College,3,126,0.98941797,0.22881895,59536.14465525790
Alfred University,1,454.6666666666670,0.52639294,0.60422957,133071.2605674950
Illinois Institute Of Art ,2,454.6666666666670,0.48900294,0.40956789,105640.1119696210
Allan Hancock College,4,1220,0.5262295,0.49325484,76983.84114583330
Allegany College Of Maryland,3,562.5,0.59288889,0.56228483,66930.8203125
Allegheny College,1,434.5,0.50517839,0.62554431,142412.0833333330
Carrington College California,4,434.5,0.91599542,0.35820326,59022.17317708330
Allen County Community College,2,420.6666666666670,0.57290018,0.54991829,74845.65543903530
Alma College,2,266.5,0.56097561,0.71877366,120659.5260416670
Sarah Lawrence College,1,266.5,0.73170733,0.36256689,311431.3333333330
Alpena Community College,2,298.5,0.46733668,0.55798501,68727.44270833330
Altamaha Technical College,3,122,0.55737704,0.40532565,48751.51171875
Anna Maria College,1,122,0.69125682,0.59595132,108239.2152279710
Alvernia University,1,210.3333333333330,0.62440568,0.56393397,94909.35131487720
Alverno College,2,161,0.99792963,0.43997833,76471.00965644410
Eastern Nazarene College,1,161,0.57971013,0.67397976,96446.74107142860
Simpson University,4,161,0.63975155,0.76154375,89041.90625
Alvin Community College,3,675.3333333333330,0.55083907,0.54605395,95668.52346063670
Amarillo College,3,1471.666666666670,0.55084938,0.55079144,70729.8615727633
"American Career College of Los Angeles, CA",4,489.5,0.82431054,0.28423366,55879.31640625
American Institute Of Business,2,257,0.71465629,0.68425125,77755.5766354572
American Intercontinental University,2,1596.166666666670,0.58985066,0.36369017,62196.2002351826
American International College,1,172.3333333333330,0.50483561,0.42280263,79213.42305367510
Orange Technical Education Centers - Orlando Technical,3,172.3333333333330,0.55125725,0.36016124,55230.72622249760
American Musical & Dramatic Academy,1,270.5,0.65619224,0.36969981,115011.5703125
Lake Forest College,2,270.5,0.58595192,0.57693034,249870.7552083330
American National University,3,377.6666666666670,0.81465137,0.36971423,43873.0047026699
American University ,3,1103,0.63553941,0.52136064,305748.2661963580
Amherst College,1,389.6666666666670,0.48417452,0.55561686,440985.716932207
Chesapeake College,3,389.6666666666670,0.58682632,0.47219369,72342.70170819080
Hamline University,2,389.6666666666670,0.64071858,0.59065008,124200.5220140080
Ancilla Domini College,2,127,0.56430447,0.51668769,72471.06686761810
Hood College,3,127,0.88976377,0.54918218,104035.5286458330
Lincoln Christian University,2,127,0.51968503,0.78667134,90916.86979166670
Seton Hill University,1,127,0.8425197,0.54942012,82482.00463418640
"Anderson University of Anderson, IN",2,448.6666666666670,0.57652301,0.70850742,116464.4858957100
Centralia College,4,448.6666666666670,0.52451706,0.51344478,79800.97635935180
"Anderson University of Anderson, SC",3,216,0.62037039,0.68392432,89558.53370949080
Andrews University,2,262.6666666666670,0.52664977,0.5948481,101521.1542274750
Nyack College,1,262.6666666666670,0.59517765,0.5878588,75695.48290767770
Angelina College,3,871.6666666666670,0.59120458,0.50160164,55254.56239543500
Angelo State University,3,1090,0.55321103,0.6384185,79315.07840452980
Anne Arundel Community College,3,2218.666666666670,0.53545672,0.48565707,105564.4281815750
Antelope Valley College,4,1904.666666666670,0.53972697,0.43287462,71043.66439064140
Anthem College And The Bryman School Of Arizona,4,2343.5,0.68039256,0.347478,51869.36067708330
Anthem Institute,1,701.6666666666670,0.2760095,0.32981238,75983.01010243470
Antonelli College,3,169.6666666666670,0.72495091,0.34146017,50262.57462549120
Ohio Dominican University,2,169.6666666666670,0.70726913,0.59600896,81938.66217460710
Appalachian State University,3,2427.333333333330,0.52059871,0.6515426,139395.6926024790
Aquinas College,2,291.3333333333330,0.64645308,0.65815198,129991.28515625
Arapahoe Community College,4,1073,0.51102829,0.49721971,110998.9340136200
Arcadia University,1,309,0.74433655,0.60099971,148066.9624797740
University Of The Sciences In Philadelphia,1,309,0.66343039,0.64841211,109049.2317708330
Argosy University,4,119,0.92997199,0.5772028,101653.7676601890
Brevard College,3,119,0.464986,0.48098892,193567.7092086840
Arizona State And Northern Arizona University And University Of Arizona,4,12056,0.55421919,0.5721252,178288.577719341
Arizona Western College,4,765.6666666666670,0.52242053,0.48828775,51295.79963845510
Arkansas Northeastern College,3,304.6666666666670,0.66520786,0.41611296,50379.58791626780
Arkansas State University,3,1956.666666666670,0.57444632,0.60616404,74970.92897678880
Arkansas State University - Beebe,3,644.6666666666670,0.52119958,0.62818938,70249.69388249740
Arkansas Tech University,3,951,0.49526814,0.64712572,76237.43459461530
Armstrong Atlantic State University,3,652.6666666666670,0.6419816,0.53932971,88486.62059499490
Art Center College Of Design,4,109.5,0.38812786,0.34515694,140836.1458333330
Avila University,2,109.5,0.63926941,0.61183172,138463.9635416670
"Empire Beauty School of Somersworth, NH",1,109.5,0.95890409,0.3843959,64785.1328125
Goldey-Beacom College,3,109.5,0.4977169,0.49083677,109674.0338541670
Art Institute Of Colorado ,4,523.6666666666670,0.39528963,0.40110242,105818.0471783500
Colorado Technical University,4,523.6666666666670,0.57797581,0.49450436,63589.87501491880
Art Institute Of Fort Lauderdale ,3,527,0.4275775,0.34093061,84857.70898066890
Surry Community College,3,527,0.50980395,0.58572334,67705.89103267320
Art Institute Of Houston ,3,401,0.36325851,0.37300768,96153.09433447630
Methodist University,3,401,0.34829593,0.53155059,84306.98981712390
Art Institute Of New York City ,1,245,0.43673471,0.2816143,64366.34010416670
Carteret Community College,3,245,0.59727889,0.48026693,64074.68568239800
Marymount University,3,245,0.74557823,0.53409296,157915.8233630950
Seward County Community College/Area Technical School,2,245,0.56870747,0.52142531,67996.21933460890
Art Institute Of Philadelphia ,1,672,0.41170636,0.33839619,90855.07113405260
Art Institute Of Phoenix ,3,214,0.35669783,0.43267283,93344.60825545170
Quincy University,2,214,0.56542057,0.68771547,104344.4193195090
Art Institute Of Pittsburgh ,1,790.6666666666670,0.37394604,0.39854708,83031.68950252950
Art Institute Of Portland ,4,135.3333333333330,0.51477832,0.4375324,102883.9385006160
College Of The Ouachitas,3,135.3333333333330,0.55911332,0.47396234,61094.48576046800
Dakota College At Bottineau,2,135.3333333333330,0.45320198,0.56260812,63575.5395916718
University Of Advancing Computer Technology,4,135.3333333333330,0.15024631,0.42786416,98070.98624153330
University Of Texas Of The Permian Basin,3,135.3333333333330,0.58374387,0.62275636,78160.88367841750
Art Institute Of Seattle ,4,562.3333333333330,0.45168939,0.42868152,117711.216091805
Wayne Community College,3,562.3333333333330,0.55898046,0.47802773,62574.2281277786
Art Institute Of York  - Pennsylvania,1,194,0.55154639,0.52949655,87538.40199473800
Catawba College,3,194,0.51546389,0.58018452,109748.8177083330
Medtech College,3,194,0.95360827,0.16954522,42425.56770833330
New Mexico Institute Of Mining & Technology,4,194,0.24398625,0.55509168,101146.0309278350
Art Institutes International Minnesota ,2,238,0.39495799,0.46412954,90425.84187893910
Central Wyoming College,4,238,0.59243697,0.54701012,67205.53057160360
Halifax Community College,3,238,0.60784316,0.2683163,41218.5178352591
Asbury College,3,265,0.56226414,0.80919522,123413.0130208330
Saint Francis University,1,265,0.58490568,0.68875158,95414.55969929250
Southern University At New Orleans,3,265,0.61509436,0.16886793,43880.52864583330
Asheville Buncombe Technical Community College,3,744,0.51433694,0.4787423,73968.66062528000
Jefferson College,2,744,0.51635307,0.59678549,79973.6635094646
Ashland University,2,461.3333333333330,0.6069364,0.68920964,103633.1471278900
Asnuntuck Community College,1,214.6666666666670,0.55590063,0.40488219,92144.84011063670
Rappahannock Community College,3,214.6666666666670,0.54503107,0.47045189,68103.9646253882
Assumption College,1,476.6666666666670,0.60139859,0.67169541,148849.7908216780
Athens Technical College,3,600,0.58055556,0.49714944,73254.09133463540
Atlanta Metropolitan  State College,3,331.3333333333330,0.57746476,0.16023026,52692.98152980380
North Arkansas College,3,331.3333333333330,0.54527164,0.62583512,56690.36981262580
Atlanta Technical College,3,311,0.55787784,0.12685724,41963.90234375
Dean College,1,311,0.45016077,0.3791995,131190.3212754560
Flathead Valley Community College,4,311,0.55734193,0.53862935,65496.90670217040
Grinnell College,2,311,0.56591642,0.52433735,187666.0392718380
Southwestern Oregon Community College,4,311,0.50803858,0.52206409,74040.80454096330
Southwestern University,3,311,0.57770634,0.64183152,216905.4958802250
Atlantic Cape Community College,1,937,0.54571325,0.41358751,72492.31194414800
Auburn University,3,3839,0.50273508,0.6894269,194404.8582692980
Auburn University Montgomery,3,668.3333333333330,0.61197007,0.50983292,84780.36574968830
Augsburg College,2,321,0.53063345,0.60241026,153407.3375924840
Augusta Technical College,3,614,0.6004343,0.35738295,58063.9443582044
"Augustana College of Rock Island, IL",2,541.3333333333330,0.57327586,0.70826322,148707.091325431
University Of Tampa ,3,541.3333333333330,0.62253696,0.50051349,148747.3031865760
"Augustana College of Sioux Falls, SD",2,392,0.64115644,0.75649744,119812.8255872660
Salve Regina University,1,392,0.67346936,0.58133811,198807.694395727
Southwest Wisconsin Technical College,2,392,0.43367347,0.54104149,62732.07736268340
Aurora University,2,185.6666666666670,0.56552964,0.55574626,99982.84526481150
"Sanford-Brown College of Boston, MA",1,185.6666666666670,0.53500897,0.25044051,65595.52105307450
Austin College,3,299.3333333333330,0.57683742,0.61685568,152914.6209284520
Austin Community College,3,4347.333333333330,0.51364821,0.44611233,109773.5039871190
Austin Peay State University,3,1065.666666666670,0.57209885,0.56917989,83845.63542725600
Automotive Training Center,1,144.3333333333330,0.034642033,0.4211888,84929.57891887990
Aveda Institute,2,162.6666666666670,0.94262296,0.5279699,99756.54845991290
Hannibal - Lagrange University,2,162.6666666666670,0.64549178,0.74982899,80959.72054303280
Aveda Institute Covington,3,61,0.95081967,0.51924878,84806.2578125
Averett University,3,126.3333333333330,0.50395781,0.57709104,86056.16000164910
Azusa Pacific University,4,647,0.6244204,0.70769596,172835.4880779880
Babson College,1,314.3333333333330,0.37751856,0.60191709,292542.2134477730
Bainbridge State College,3,277.6666666666670,0.58223289,0.40566996,49669.58982968190
Baker College,2,2788,0.66284072,0.4585872,70673.76007666790
Baker University,2,190.3333333333330,0.54115587,0.65861338,150457.8955095230
Massachusetts Maritime Academy,1,190.3333333333330,0.1295972,0.60545921,148180.0616517080
Baldwin Wallace University,2,686.6666666666670,0.5985437,0.6688863,105043.5250151700
Ball State University,2,3317.666666666670,0.55561137,0.64420259,111459.0096680960
Baltimore School Of Massage,3,73,0.86301368,0.43747342,70166.98958333330
Baptist Bible College,2,124.5,0.50200802,0.8267383,72203.76822916670
Baptist Bible College Of Pennsylvania,1,188.3333333333330,0.580531,0.79829925,87674.39153761060
University Of Arkansas Community College At Batesville,3,188.3333333333330,0.59115046,0.58525592,54978.69718611730
Upper Iowa University,2,188.3333333333330,0.48672566,0.55400813,68258.7517699115
Bard College,1,280,0.5607143,0.36819476,340615.7279947920
Barnard College,1,535.3333333333330,0.99564135,0.5202992,310543.0638037050
Barry University,3,272.6666666666670,0.66625917,0.42077962,116412.1854752450
Presbyterian College,3,272.6666666666670,0.56723714,0.72028774,169574.6110368280
Barstow Community College,4,478,0.45327756,0.4585042,62711.74122591960
Barton College,3,185,0.66486484,0.65991211,99189.09635416670
Pratt Community College,2,185,0.45405406,0.57812911,60594.11979166670
Scripps College,4,185,0.99459457,0.54493582,254753.8225788290
Barton County Community College,2,806.3333333333330,0.36461347,0.52174824,59945.31674697710
Bates College,1,427,0.50351286,0.58164424,330710.9493071820
Bates Technical College,4,378.3333333333330,0.38678414,0.44380075,74478.24720539650
"Sanford-Brown College of Fenton, MO",2,378.3333333333330,0.73920703,0.33499491,61503.75301830950
Bay De Noc Community College,2,368.5,0.53595656,0.55363101,73573.13020833330
Bay Path College,1,76,1,0.57856828,93687.75479714910
Bay State College,1,150,0.66666669,0.29726502,72966.30729166670
Jefferson Davis Community College,3,150,0.58333331,0.42608756,56457.80598958330
Minneapolis Business College,2,150,0.74333334,0.56553328,67014.14583333330
Baylor University,3,2522.666666666670,0.58958775,0.6917218,215777.8602008460
Beaufort County Community College,3,182.3333333333330,0.57586837,0.41642657,54211.49915733550
New England College,1,182.3333333333330,0.48811701,0.54126394,161720.5338208410
Becker College,1,239,0.75313807,0.51339358,87529.21964347980
Bel - Rea Institute Of Animal Technology,4,107,0.92990655,0.5211153,97078.15885416670
University Of The Ozarks,3,107,0.48598132,0.61283273,96423.859375
Belhaven University,3,139.5,0.59498209,0.6617381,92393.31510416670
Bellarmine University,3,318,0.65251571,0.68461752,135061.6649141770
Bellevue College,4,1853.666666666670,0.46969968,0.48081589,143430.1454268570
Bellevue University,2,140.3333333333330,0.46080759,0.64363998,87138.01668274940
Bellingham Technical College,4,313.3333333333330,0.47021276,0.5152818,79678.37288896280
Belmont Abbey College,3,134.3333333333330,0.52109182,0.59507048,124431.8340764580
Belmont College,2,289,0.48558247,0.54019785,58512.50717722750
Enterprise State Community College,3,289,0.43944636,0.50819385,77794.2890625
Belmont University,3,472.6666666666670,0.59873062,0.65178537,187916.1580901800
Danville Community College,3,472.6666666666670,0.52397746,0.48675278,66177.91531867070
Beloit College,2,257.3333333333330,0.59974092,0.47994474,178407.6344114310
Benedictine College,2,231,0.52597404,0.65511101,104279.5052083330
Benedictine University,2,223,0.57174885,0.62427807,130073.1927083330
Bennington College,1,124.6666666666670,0.69786096,0.38929892,167420.252799131
Bentley University,1,834.3333333333330,0.42668799,0.6170792,188624.2859943070
Bergen Community College,1,1818,0.46314633,0.40591589,97734.94201933210
"Berkeley College of New York, NY",1,372,0.6783154,0.32951048,61200.79279548890
"Berkeley College of Woodland Park, NJ",1,446.3333333333330,0.70500374,0.40715447,70132.76352163460
Berklee College Of Music,1,519.3333333333330,0.22272144,0.41283527,214504.3778281450
Berkshire Community College,1,353.3333333333330,0.53679246,0.44859996,88979.13946049530
Berry College,3,420.5,0.64803803,0.74294841,133228.0208333330
